id,siren,name,brand_name,description,address,city,postal_code,country,phone,website,logo,siret,ceo_name,ape,founded_date,turnover_2022,gouv_searched,gouv_street,gouv_city,gouv_postal_code,gouv_country,gouv_lat,gouv_lng
300,344366315,ERNST & YOUNG AUDIT,ERNST & YOUNG AUDIT,,2 PLACE DES SAISONS,COURBEVOIE,92400,,,,,34436631500440,Alain PERROUX,6920Z,1987-12-11,186599933.0,1,Place des Saisons,Courbevoie,92400,,48.889166,2.251662
327,388301988,ESLC SERVICES,GOLLE FRERES,,22 RUE EUGENE HENAFF,VÉNISSIEUX,69200,,,,,38830198801470,ESLC ENERGIES,4671Z,1992-08-05,201068445.0,1,Rue Eugène Hénaff,Vénissieux,69200,,45.687487,4.900654
184,316643170,ETABLISSEMENTS CHARLES CHEVIGNON,ETABLISSEMENTS CHARLES CHEVIGNON,,24 AVENUE JEAN MEDECIN,Nice,06000,,,,,31664317000392,STEPHANE COLLAERT CONSEIL,4771Z,2003-06-01,6500185.0,1,Avenue Jean Médecin,Nice,06000,,43.701933,7.267196
479,304056526,ETABLISSEMENTS LE JANNOU,ETABLISSEMENTS LE JANNOU,,ROUTE D ESPALION,SAINT-ALBAN,12850,,,,,30405652600037,WACOTT,4631Z,1974-01-01,,0,,,,,,
507,311771158,ETABLISSEMENTS POCHON,E.M.D.,,CARREFOUR CARREFOUR PREVERT,LA ROCHELLE,77970,,,,,31177115800038,Julien POCHON,4652Z,1978-01-01,,0,,,,,,
467,97180301,ETABLISSEMENTS ROBERT AGEST,LE GEANT DU LOISIR,,BONNEL,BIZANOS,47480,,,,,9718030100034,Catherine PECASTAING,4519Z,1996-12-25,,0,,,,,,
122,331376004,EVICOM,EVICOM,,33 ALLEE DES PECHEURS,SAINT-LAURENT-DU-VAR,06700,,,,,33137600400056,Yves MERENDA,4652Z,1984-12-21,712467.0,1,Allée des Pêcheurs,Saint-Laurent-du-Var,06700,,43.685259,7.18617
477,303754071,FAURIE LOCATION & SERVICES,LOMATIC AUVERGNE,,QUARTIER LA CLAIRETTE,AUBIÈRE,07140,,,,,30375407100114,,7712Z,1980-07-02,,0,,,,,,
311,349797357,FERMOB,FERMOB,,124 RUE RAYMOND NOEL,SAINT-DIDIER-SUR-CHALARONNE,01140,,,,,34979735700010,Baptiste REYBIER,3109A,1989-02-27,119693005.0,1,Rue Raymond Noel,Saint-Didier-sur-Chalaronne,01140,,46.182166,4.801517
198,327359980,FEU VERT,FEU VERT,,11 ALLEE MOULIN BERGER,ÉCULLY,69130,,,,,32735998001799,FINANCIERE RAMSES II,4532Z,1983-04-01,421373497.0,1,Allée du Moulin Berger,Écully,69130,,45.798236,4.769089
185,317288389,FIDUCIAL INFORMATIQUE,SATELIT   ORGASOFT INFORMATIQUE,,41 RUE DU CAPITAINE GUYNEMER,COURBEVOIE,92400,,,,,31728838900529,Jean-claude CARQUILLAT,6202A,1979-01-01,95717335.0,1,Rue du Capitaine Guynemer,Courbevoie,92400,,48.895841,2.243662
469,300300290,FLUIDRA COMMERCIAL FRANCE,FLUIDRA COMMERCIAL FRANCE,,226 RUE LOUIS LEPINE,PERPIGNAN,30600,,,,,30030029000172,ZPES HOLDINGS,4673B,1974-01-01,,0,,,,,,
124,332303650,FORESI BATIMENT,FORESI BATIMENT,,1 RUE DE JUSSIEU,NICE,06000,,,,,33230365000011,Christian TODESCO,4321A,1985-04-03,1713000.0,1,Rue de Jussieu,Nice,06000,,43.70194,7.252723
489,305912131,FRANCE TRAVAUX PUBLICS SERVICES,FRANCE TP SERVICES,,AVENUE DE TOULOUSE,PESSAC,12200,,,,,30591213100052,Frédéric PUJOL,7732Z,1976-01-01,,0,,,,,,
172,879087864,FRIGOTEKNIKA NISSA,FRIGOTEKNIKA NISSA,,75 BOULEVARD FRANCOIS GROSSO,NICE,06000,,,,,87908786400028,Bruno MARZOCCHI,4322B,2019-11-15,119400.0,1,Boulevard François Grosso,Nice,06000,,43.699419,7.251103
472,301940011,FUJITSU TECHNOLOGY SOLUTIONS,FUJITSU TECHNOLOGY SOLUTIONS,,255 QUAI DE LA BATAILLE DE STALINGRAD,COURBEVOIE,92130,,,,,30194001100846,Joao DOMINGOS,6202A,1975-01-01,,1,Quai de la Bataille de Stalingrad,Issy-les-Moulineaux,92130,,48.821877,2.251205
525,316432467,GAMM VERT SYNERGIES SUD-OUEST,MAISADOUR,,1500 ROUTE DE MONBAHUS,ANGERS,47290,,,,,31643246700710,TERACT RETAIL,4776Z,1979-01-01,,0,,,,,,
146,524659232,GANGITANO RICHARD,MONSIEUR RICHARD GANGITANO,,2 AVENUE ESTIENNE D ORVES,NICE,06000,,,,,52465923200010,Richard GANGITANO,4322A,2010-09-15,102000.0,1,Avenue Honoré d'Estienne d'Orves,Nice,06000,,43.701532,7.253704
330,391918158,GAP FRANCE SAS,GAP - GAPKIDS - BABYGAP,,12 PLACE DAUPHINE,PARIS,75001,,,,,39191815800620,Delaram MIRESKANDARI,4771Z,1993-07-20,13615268.0,1,Place Dauphine,Paris,75001,,48.856752,2.342742
494,308198951,GAUTIER SAS,GAUTIER PRIMEX,,26 ROUTE DE LESPIGNAN,USSAC,34500,,,,,30819895100052,ESTIVIN GROUPE HOLDING FINANCE,4631Z,1976-01-01,,0,,,,,,
182,315334011,GENERAL LOGISTICS SYSTEMS France,GLS FRANCE,,14 RUE MICHEL LABROUSSE,TOULOUSE,31100,,,,,31533401101434,GLS INVEST FRANCE SAS,5229A,1979-11-01,457089284.0,1,Rue Michel Labrousse,Toulouse,31100,,43.568501,1.386738
190,319679825,GENERAL MILLS France,GENERAL MILLS FRANCE ,,30 COURS DE L'ILE SEGUIN,BOULOGNE-BILLANCOURT,92100,,,,,31967982500194,David BRODOWSKA,4636Z,1980-09-01,261694915.0,1,Cours de l'Ile Seguin,Boulogne-Billancourt,92100,,48.82753,2.234119
519,315062752,GEODIS CL Ile de France,G2R CLER CALBERSON LOGISTIQUE ENVIRONNEM,,ROUTE DE DINAN,LEVALLOIS-PERRET,35120,,,,,31506275202306,Frédéric PASQUAL,5210B,1979-01-01,,0,,,,,,
504,310923495,GEODIS D&E Aveyron,AVEYRON MESSAGERIE,,26 AVENUE DE WINCHESTER,RODEZ,78100,,,,,31092349500033,Constantino MENDEZ,5229A,1984-10-01,,1,Avenue de Winchester,Saint-Germain-en-Laye,78100,,48.907642,2.072755
115,306731688,GEODIS D&E MEDITERRANEE,GEODIS - FRANCE EXPRESS,,RUE DU TRAITE DE ROME,SAINT-JEAN-DE-VÉDAS,34430,,,,,30673168800108,Eric CASTAINGT,5229A,1983-05-01,133437348.0,1,Rue du Traite de Rome,Saint-Jean-de-Védas,34430,,43.569308,3.839064
117,309706992,"GINGER
(SUD EXPRESS)",SUD EXPRESS,,52 RUE DU FBG POISSONNIERE,PARIS,75010,,,,,30970699200281,Patrick BELLAICHE,4771Z,1977-01-01,46374715.0,1,Rue du Faubourg Poissonnière,Paris,75010,,48.874623,2.348105
545,408627354,Goodman France,Goodman,"Transactions sur immeubles et fonds de commerce. Gestion immobilière. Acquisition de tous immeubles, biens et droits immobiliers,",24 RUE DE PRONY,PARIS 17,75017,France,,https://fr.goodman.com/,,408627354 00124,Aurelien Noel,4110C,2018-07-20,83200000.0,,,,,,,
315,351466495,GRANDS MOULINS DE PARIS,MOULIN DU BOS,,99 RUE MIRABEAU,IVRY-SUR-SEINE,94200,,,,,35146649500063,Pierre GARCIA-BENQUE,1061A,1989-07-01,560396000.0,1,Rue Mirabeau,Ivry-sur-Seine,94200,,48.820626,2.377739
497,309372720,GROUPE LACAN,GROUPE LACAN,,RUE DE FIEUZAL,RÉQUISTA,33520,,,,,30937272000032,Marc LACAN,4661Z,1980-06-01,,0,,,,,,
187,318771623,GROUPE LA CENTRALE,LA CENTRALE,,37 RUE DU ROCHER,PARIS,75008,,,,,31877162300200,GLC HOLDING,5813Z,1980-01-01,16642066.3302325,1,Rue du Rocher,Paris,75008,,48.877464,2.320818
499,309543486,GROUPE MTM,IMPRESSION & SOLUTIONS,,52 RUE DU FBG POISSONNIERE,PERPIGNAN,75010,,,,,30954348600075,Jean-luc MORA,4649Z,1977-01-01,,0,,,,,,
535,317410249,GRUEL FAYER,LA SEMEUSE,,1220 AVENUE DE L EUROPE,CHÂTEAUBOURG,82000,,,,,31741024900039,Bernard GOUDY,4675Z,1979-01-01,,0,,,,,,
520,315064501,GUISNEL DISTRIBUTION SAS,GUISNEL DISTRIBUTION,,3 QUAI DU POINT DU JOUR,DOL-DE-BRETAGNE,92100,,,,,31506450100010,GROUPE GUISNEL,4941A,1979-01-01,,0,,,,,,
143,514023134,H2EAU SERVICES,H2EAU Services,,75 AVENUE MARECHAL LYAUTEY,NICE,06000,,,,,51402313400026,Bertrand CHEVALLIER,4322B,2009-07-01,293000.0,1,Avenue Maréchal Lyautey,Nice,06000,,43.715685,7.28125
298,343738266,HAPPY CURL,LA BOUTIQUE DU COIFFEUR,,60 RUE SALVADOR ALLENDE,TOMBLAINE,54510,,,,,34373826600083,Rolando MONTEIRO TARRENTA,4645Z,1988-02-01,87600054.0,1,Rue Salvador Allendé,Tomblaine,54510,,48.683751,6.230744
170,852053180,HOMEFRUITS,HOMEFRUITS,,105 RUE DE FRANCE,NICE,06000,,,,,85205318000018,Sabrina DIETHARDT GARCIA,4721Z,2019-07-02,570300.0,1,Rue de France,Nice,06000,,43.694863,7.254919
459,68200575,HORTICASH,HORTICASH,,7 RUE DES ARCHES,SAINT-MARTIN-DU-FOUILLOUX,41000,,,,,6820057500014,GROUPE BERNARD CAMUS,4622Z,1993-06-25,,0,,,,,,
177,959801952,HOSTELLERIE DU CHATEAU DE LA CHEVRE D'OR,LE GRILL DU CHATEAU,,RUE DU BARRI,ÈZE,06360,,,,,95980195200018,Aria HARAJCHI,5610A,1959-01-01,8501800.0,1,Rue du Barri,Èze,06360,,43.727641,7.362193
116,307035725,HOYA LENS FRANCE,Hoya Lens France,,RUE WILLY BRANDT,ÉMERAINVILLE,77184,,,,,30703572500174,Hans WERQUIN,4643Z,1976-01-01,77914857.0,1,Rue Willy Brandt,Émerainville,77184,,48.810564,2.614562
171,852346253,HUISSIERS GRANDSUD,HUISSIERS GRANDSUD,,31 AVENUE JEAN MEDECIN,NICE,06000,,,,,85234625300010,Géraldine CHAGNAUD,6910Z,2019-07-10,17200.0,1,Avenue Jean Médecin,Nice,06000,,43.701996,7.266959
